A+A:Lccession;Org_location;Geo_Location;Country;USA;Host;Host family;Tissue_Specimen_Source;Collection_Date;Total Monthly Precipitation;Monthly Maximum Temperature;Monthly Minimum Temperature;;
OX442283;Germany;Germany: Berlin;Germany;;Cyanistes caeruleus;Bird;;2020-08;1.97;28.3;14.7;;
OX442296;Germany;Germany: Berlin;Germany;;Cyanistes caeruleus;Bird;;2020-08;1.97;28.3;14.7;;
OX442347;Germany;Germany: Berlin;Germany;;Cyanistes caeruleus;Bird;;2020-07-07;1.32;24.2;12.0;;
DQ874428;USA;USA: Illinois, Crawford;USA;IL;Cyanocitta cristata;Bird;;2002-08-05;6.25;28.9;18.1;;
DQ874432;USA;USA: Illinois, Clinton;USA;IL;Cyanocitta cristata;Bird;;2002-08-09;6.25;28.9;18.1;;
DQ874434;USA;USA: Illinois, Perry;USA;IL;Cyanocitta cristata;Bird;;2002-08-16;6.25;28.9;18.1;;
DQ874433;USA;USA: Illinois, Perry;USA;IL;Cyanocitta cristata;Bird;;2002-08-18;6.25;28.9;18.1;;
DQ874435;USA;USA: Illinois, Perry;USA;IL;Cyanocitta cristata;Bird;;2002-08-20;6.25;28.9;18.1;;
DQ874436;USA;USA: Illinois, Macoupin;USA;IL;Cyanocitta cristata;Bird;;2002-08-22;6.25;28.9;18.1;;
DQ874438;USA;USA: Illinois, Douglas;USA;IL;Cyanocitta cristata;Bird;;2002-08-27;6.25;28.9;18.1;;
DQ874439;USA;USA: Illinois, Moultrie;USA;IL;Cyanocitta cristata;Bird;;2002-08-28;6.25;28.9;18.1;;
DQ874451;USA;USA: Illinois, Cook;USA;IL;Cyanocitta cristata;Bird;;2003-07-09;5.50;28.1;17.1;;
OQ326499;Germany;Germany: Thuringia;Germany;;Trichoglossus moluccanus;Bird;blood;2021-05-19;2.8;15.3;6.1;;
OM037670;Spain;Spain: Lerida, Catalonia;Spain;;Accipiter gentilis;Bird;brain;2017-09;0.55;26.7;12.9;;
MW915462;Spain;Spain: Manilva, Malaga;Spain;;Accipiter gentilis;Bird;brain;2017-09;0.06;29.6;19.3;;
OM037671;Spain;Spain: Lerida, Catalonia;Spain;;Accipiter gentilis;Bird;brain;2020-09;0.19;28.4;14.6;;
OM037672;Spain;Spain: Tarragona, Catalonia;Spain;;Accipiter gentilis;Bird;brain;2020-09;0.53;27.2;17.6;;
OM037673;Spain;Spain: Tarragona, Catalonia;Spain;;Accipiter gentilis;Bird;brain;2020-09;0.53;27.2;17.6;;
PQ641624;Spain;Spain: BARCELONA ZONA UNIVERSITARIA;Spain;;Larus michahellis;Bird;brain;2023-07-28;0.09;31.3;22.9;;
OX442293;Germany;Germany: Berlin;Germany;;Phoenicopterus chilensis;Bird;;2020-08-25;1.97;28.3;14.7;;
OX442271;Germany;Germany: Saxony;Germany;;Phoenicopterus chilensis;Bird;;2020-09;2.15;22.6;9.1;;
DQ874421;USA;USA: Illinois, Cook;USA;IL;Sciurus carolinensis;Bird;;2005-08-20;2.19;29.1;17.4;;
DQ874422;USA;USA: Illinois, Cook;USA;IL;Sciurus carolinensis;Bird;;2005-09-02;2.60;23.5;13.7;;
